device_type,symptom_1,symptom_2,symptom_3,fault_label
رسيفر,لا إشارة,تشويش,قنوات مفقودة,هوائي تالف
رسيفر,توقف عن العمل,إعادة تشغيل,حرارة,مشكلة في التبريد
رسيفر,صورة مشوشة,تشويش,صوت مقطوع,إشارة ضعيفة
حاسب,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
حاسب,لا يعمل,ضوء لا يشتغل,لا صوت,مشكلة في الشاحن
حاسب,بطء,تجميد,توقف البرامج,ذاكرة ممتلئة
حاسب,بطء,حرارة عالية,صوت مراوح,مشكلة في التبريد
حاسب,شاشة سوداء,ضوء يعمل,صوت يعمل,مشكلة في الشاشة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
حاسب,لا يشحن,كابل تالف,بطارية لا تشحن,مشكلة في الشاحن
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة عالية,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت غريب,اهتزاز,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,صوت مرتفع,رطوبة,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
ثلاجة,صوت مرتفع,صوت طقطقة,برودة ضعيفة,مروحة متسخة
ثلاجة,تجمد زائد,جليد كثير,برودة زائدة,درجة حرارة منخفضة جداً
ثلاجة,توقف عن العمل,لا كهرباء,لا استجابة,عطل في الكمبروسر
مكيف,لا يبرد,هواء دافئ,فلتر متسخ,فلتر مسدود
مكيف,لا يبرد,صوت مرتفع,هواء ضعيف,نقص في الفريون
مكيف,تسريب ماء,ماء يسقط,رطوبة,انسداد مجرى التصريف
مكيف,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
مكيف,صوت مرتفع,صوت طقطقة,هواء ضعيف,مروحة متسخة
مكيف,رائحة كريهة,غبار,هواء ضعيف,فلتر مسدود
غسالة,لا تدور,صوت غريب,اهتزاز,حمل غير متوازن
غسالة,لا تدور,توقف فجأة,صوت طقطقة,مشكلة في المحرك
غسالة,تسريب ماء,ماء على الأرض,خرطوم مفتوح,خرطوم تالف
غسالة,صوت مرتفع,اهتزاز شديد,حركة غير طبيعية,حمل غير متوازن
غسالة,صوت مرتفع,صوت طقطقة,دوران بطيء,سير المحرك تالف
تلفزيون,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
تلفزيون,صورة مشوشة,إشارة ضعيفة,قنوات مفقودة,كابل إشارة تالف
تلفزيون,لا صوت,صورة واضحة,صمت,مشكلة في السماعات
تلفزيون,شاشة سوداء,ضوء يعمل,لا صورة,مشكلة في الشاشة
جوال,لا يشحن,منفذ متسخ,شحن بطيء,منفذ الشحن متسخ
جوال,لا يشحن,كابل لا يعمل,لا استجابة,كابل تالف
جوال,بطء,تجميد,توقف التطبيقات,ذاكرة ممتلئة
جوال,بطء,حرارة,استهلاك بطارية,معالج محمّل
رسيفر,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
رسيفر,لا إشارة,شاشة سوداء,لا قنوات,كابل إشارة تالف
رسيفر,صورة مشوشة,تشويش,صوت مقطوع,إشارة ضعيفة
حاسب,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
حاسب,بطء,تجميد,توقف البرامج,ذاكرة ممتلئة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
حاسب,لا يشحن,كابل تالف,بطارية لا تشحن,مشكلة في الشاحن
ثلاجة,لا تبرد,صوت,درجة,مشكلة في الكمبروسر
ثلاجة,لا تبرد,برودة,اهتزاز,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,رطوبة,ماء,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,جهاز غير مستو,اهتزاز,الجهاز غير مستوٍ
ثلاجة,تجمد زائد,برودة,جليد,درجة حرارة منخفضة جداً
ثلاجة,توقف عن العمل,صوت,رائحة,عطل في الكمبروسر
مكيف,لا يبرد,فلتر,هواء,فلتر مسدود
مكيف,تسريب ماء,رطوبة,ماء,انسداد مجرى التصريف
مكيف,صوت مرتفع,جهاز غير مستو,اهتزاز,الجهاز غير مستوٍ
مكيف,رائحة كريهة,هواء ضعيف,غبار,فلتر مسدود
غسالة,لا تدور,اهتزاز,صوت,حمل غير متوازن
غسالة,تسريب ماء,خرطوم,ماء,خرطوم تالف
غسالة,صوت مرتفع,حركة,اهتزاز,حمل غير متوازن
غسالة,لا تصرف الماء,رائحة,ماء,انسداد مضخة التصريف
تلفزيون,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
تلفزيون,صورة مشوشة,قنوات,إشارة,كابل إشارة تالف
تلفزيون,لا صوت,صمت,صورة,مشكلة في السماعات
تلفزيون,شاشة سوداء,صورة,ضوء,مشكلة في الشاشة
جوال,لا يشحن,شحن,منفذ,منفذ الشحن متسخ
جوال,لا يشحن,استجابة,كابل,كابل تالف
جوال,بطء,تطبيقات,تجميد,ذاكرة ممتلئة
جوال,بطء,بطارية,حرارة,معالج محمّل
رسيفر,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
رسيفر,لا إشارة,قنوات,شاشة,كابل إشارة تالف
رسيفر,صورة مشوشة,صوت,تشويش,إشارة ضعيفة
حاسب,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
حاسب,بطء,برامج,تجميد,ذاكرة ممتلئة
حاسب,صوت مرتفع,اهتزاز,حرارة,مروحة متسخة
حاسب,لا يشحن,بطارية,كابل,مشكلة في الشاحن
ثلاجة,لا تبرد,صوت مرتفع,درجة حرارة عالية,مشكلة في الكمبروسر
ثلاجة,لا تبرد,صوت غريب,اهتزاز,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,صوت مرتفع,رطوبة,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
ثلاجة,تجمد زائد,جليد كثير,برودة زائدة,درجة حرارة منخفضة جداً
ثلاجة,توقف عن العمل,لا كهرباء,لا استجابة,عطل في الكمبروسر
مكيف,لا يبرد,هواء دافئ,فلتر متسخ,فلتر مسدود
مكيف,لا يبرد,صوت مرتفع,هواء ضعيف,نقص في الفريون
مكيف,تسريب ماء,ماء يسقط,رطوبة,انسداد مجرى التصريف
مكيف,صوت مرتفع,اهتزاز,جهاز غير مستو,الجهاز غير مستوٍ
مكيف,رائحة كريهة,غبار,هواء ضعيف,فلتر مسدود
غسالة,لا تدور,صوت غريب,اهتزاز,حمل غير متوازن
غسالة,تسريب ماء,ماء على الأرض,خرطوم مفتوح,خرطوم تالف
غسالة,صوت مرتفع,اهتزاز شديد,حركة غير طبيعية,حمل غير متوازن
غسالة,لا تصرف الماء,ماء راكد,رائحة,انسداد مضخة التصريف
تلفزيون,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
تلفزيون,صورة مشوشة,إشارة ضعيفة,قنوات مفقودة,كابل إشارة تالف
تلفزيون,لا صوت,صورة واضحة,صمت,مشكلة في السماعات
تلفزيون,شاشة سوداء,ضوء يعمل,لا صورة,مشكلة في الشاشة
جوال,لا يشحن,منفذ متسخ,شحن بطيء,منفذ الشحن متسخ
جوال,لا يشحن,كابل لا يعمل,لا استجابة,كابل تالف
جوال,بطء,تجميد,توقف التطبيقات,ذاكرة ممتلئة
جوال,بطء,حرارة,استهلاك بطارية,معالج محمّل
رسيفر,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
رسيفر,لا إشارة,شاشة سوداء,لا قنوات,كابل إشارة تالف
رسيفر,صورة مشوشة,تشويش,صوت مقطوع,إشارة ضعيفة
حاسب,لا يعمل,لا استجابة,عدم كهرباء,مشكلة في الكهرباء
حاسب,بطء,تجميد,توقف البرامج,ذاكرة ممتلئة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
حاسب,لا يشحن,كابل تالف,بطارية لا تشحن,مشكلة في الشاحن
ثلاجة,لا تبرد,صوت,درجة,مشكلة في الكمبروسر
ثلاجة,تسريب ماء,ماء,رطوبة,انسداد فتحة التصريف
ثلاجة,صوت مرتفع,اهتزاز,جهاز,الجهاز غير مستوٍ
مكيف,لا يبرد,هواء,فلتر,فلتر مسدود
مكيف,تسريب ماء,ماء,رطوبة,انسداد مجرى التصريف
مكيف,صوت مرتفع,اهتزاز,مستو,الجهاز غير مستوٍ
غسالة,لا تدور,صوت,اهتزاز,حمل غير متوازن
غسالة,تسريب ماء,ماء,خرطوم,خرطوم تالف
غسالة,صوت مرتفع,اهتزاز,حركة,حمل غير متوازن
تلفزيون,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
تلفزيون,صورة مشوشة,إشارة,قنوات,كابل إشارة تالف
جوال,لا يشحن,منفذ,شحن,منفذ الشحن متسخ
جوال,بطء,تجميد,تطبيقات,ذاكرة ممتلئة
رسيفر,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
رسيفر,لا إشارة,شاشة,قنوات,كابل إشارة تالف
حاسب,لا يعمل,كهرباء,استجابة,مشكلة في الكهرباء
حاسب,بطء,تجميد,برامج,ذاكرة ممتلئة
حاسب,صوت مرتفع,حرارة,اهتزاز,مروحة متسخة
